year,catch_B,catch_B_female,catch_B_male,catch_N_female,catch_N_male,CPUE_nominal,CPUE_ave5yr,survey_B,,,,,,,,,,,,,,,,,,,,,,,
1951,278,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
1952,298,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
1953,452,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
1954,394,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
1955,336,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
1956,380,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
1957,524,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
1958,719,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
1959,819,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
1960,811,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
1961,958,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
1962,1010,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
1963,1036,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
1964,909,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
1965,832,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
1966,817,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
1967,824,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
1968,654,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
1969,543,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
1970,618,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
1971,567,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
1972,508,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
1973,585,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
1974,501,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
1975,478,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
1976,538,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
1977,704,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
1978,761,NA,NA,NA,NA,3.4,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
1979,719,NA,NA,NA,NA,3.5,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
1980,671,NA,NA,NA,NA,3.6,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
1981,640,NA,NA,NA,NA,4.8,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
1982,684,NA,NA,NA,NA,4.8,4,NA,,,,,,,,,,,,,,,,,,,,,,,
1983,766,NA,NA,NA,NA,5.9,4.5,NA,,,,,,,,,,,,,,,,,,,,,,,
1984,642,NA,NA,NA,NA,6,5,NA,,,,,,,,,,,,,,,,,,,,,,,
1985,645,NA,NA,NA,NA,5.8,5.5,NA,,,,,,,,,,,,,,,,,,,,,,,
1986,554,NA,NA,NA,NA,3.6,5.2,NA,,,,,,,,,,,,,,,,,,,,,,,
1987,489,NA,NA,NA,NA,5.6,5.4,NA,,,,,,,,,,,,,,,,,,,,,,,
1988,475,NA,NA,NA,NA,3.7,4.9,NA,,,,,,,,,,,,,,,,,,,,,,,
1989,387,NA,NA,NA,NA,3.6,4.5,NA,,,,,,,,,,,,,,,,,,,,,,,
1990,297,NA,NA,NA,NA,3.1,3.9,NA,,,,,,,,,,,,,,,,,,,,,,,
1991,289,NA,NA,NA,NA,3.3,3.9,NA,,,,,,,,,,,,,,,,,,,,,,,
1992,327,NA,NA,NA,NA,3.3,3.4,NA,,,,,,,,,,,,,,,,,,,,,,,
1993,386,NA,NA,NA,NA,5.4,3.7,NA,,,,,,,,,,,,,,,,,,,,,,,
